City_ID,City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Current Description
291,Villa Carlos Paz,AR,-31.4241,-64.4978,78.08,27,48,0.7,scattered clouds
292,Bosaso,SO,11.2842,49.1816,70.81,76,4,1.56,clear sky
293,Margate,GB,51.3813,1.3862,39.96,93,14,2.75,few clouds
294,Liverpool,GB,53.4106,-2.9779,46.62,87,20,0.89,few clouds
295,Cassilandia,BR,-19.1133,-51.7342,71.49,87,17,1.88,few clouds
296,Cabra,ES,37.4725,-4.4421,49.89,82,11,0.89,few clouds
297,Morro Bay,US,35.3658,-120.8499,68.74,67,11,0.89,few clouds
298,Isangel,VU,-19.55,169.2667,83.41,73,13,9.21,few clouds
299,Avera,US,33.194,-82.5271,69.67,84,27,3.36,scattered clouds
300,Valdez,EC,1.2492,-78.9831,78.28,80,86,2.57,overcast clouds
301,Sept-Iles,CA,50.2001,-66.3821,25.05,90,100,5.36,overcast clouds
302,Arlit,NE,18.7369,7.3853,55.67,19,40,3.78,scattered clouds
303,Zaozerne,UA,45.1582,33.2787,48.56,89,95,1.86,overcast clouds
304,Ribeira Grande,PT,38.5167,-28.7,61.41,77,100,9.11,overcast clouds
305,Mogadishu,SO,2.0371,45.3438,77.59,81,23,9.32,few clouds
306,Sitka,US,57.0531,-135.33,46.29,71,75,7.2,broken clouds
307,Bloomington,US,44.8408,-93.2983,5.58,62,100,0.45,overcast clouds
308,Lima,PE,-12.0432,-77.0282,73.38,76,0,0.45,clear sky
309,San Patricio,US,28.017,-97.5169,75.29,43,95,8.05,overcast clouds
310,Pacifica,US,37.6138,-122.4869,62.44,72,40,1.34,scattered clouds
311,Iquique,CL,-20.2208,-70.1431,69.71,77,29,1.24,scattered clouds
312,Kununurra,AU,-15.7667,128.7333,84.18,89,82,2.57,broken clouds
313,Southbridge,US,42.0751,-72.0334,39.43,94,100,0.89,light rain
314,Biak,ID,-0.9131,122.8766,80.73,65,76,0.13,broken clouds
315,Nsoko,SZ,-27.0333,31.95,70.59,82,69,0.75,broken clouds
316,Mabaruma,GY,8.2,-59.7833,69.66,96,21,1.4,few clouds
317,Kuytun,RU,54.3419,101.5036,-3.78,99,87,0.49,overcast clouds
318,Luderitz,NA,-26.6481,15.1594,62.04,95,6,1.71,clear sky
319,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,48,0,8.75,clear sky
320,Ihosy,MG,-22.4,46.1167,67.21,90,100,4.59,overcast clouds
321,Derzhavinsk,KZ,51.1,66.3167,-10.55,100,21,2.04,few clouds
322,Dobryanka,RU,58.4619,56.4165,13.86,92,100,5.13,overcast clouds
323,Portland,US,45.5234,-122.6762,51.21,63,13,0.45,few clouds
324,Rebrikha,RU,53.0733,82.3408,7.16,95,92,4.06,overcast clouds
325,Evensk,RU,61.95,159.2333,7.41,78,71,3.72,broken clouds
326,Bengkulu,ID,-3.8004,102.2655,76.01,89,96,1.52,light rain
327,Kruisfontein,ZA,-34.0033,24.7314,66.88,74,94,8.4,overcast clouds
328,Leshukonskoye,RU,64.8989,45.7622,-1.16,97,96,3.08,overcast clouds
329,San Cristobal,VE,7.7669,-72.225,68.18,93,81,1.13,broken clouds
330,Sfantu Gheorghe,RO,45.8667,25.7833,40.26,90,100,0.96,overcast clouds
331,Kirakira,SB,-10.4544,161.9205,85.51,70,99,4.57,overcast clouds
332,Coria,ES,39.9879,-6.5377,48.45,92,78,1.69,broken clouds
333,Diamantino,BR,-14.4086,-56.4461,73.26,96,97,2.17,overcast clouds
334,Makakilo City,US,21.3469,-158.0858,79.61,60,0,3.6,clear sky
335,Chuy,UY,-33.6971,-53.4616,69.87,79,0,5.97,clear sky
336,Hit,IQ,33.6416,42.8251,55.47,49,72,4.24,broken clouds
337,Vung Tau,VN,10.346,107.0843,75.7,83,15,5.65,few clouds
338,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,34,0,4.92,clear sky
339,Malinovka,BY,53.8579,27.4374,22.5,94,89,3.78,overcast clouds
340,Ziro,IN,27.6333,93.8333,41.99,83,79,0.96,broken clouds
341,Coquimbo,CL,-29.9533,-71.3436,64.94,74,99,1.67,overcast clouds
342,Maidstone,GB,51.2667,0.5167,40.21,91,50,0.45,scattered clouds
343,Lydenburg,ZA,-25.0978,30.4597,59.27,93,1,0.78,clear sky
344,Asau,RO,46.4333,26.4,33.28,98,100,1.59,overcast clouds
345,Ixtapa,MX,20.7,-105.2,76.23,73,100,3.6,overcast clouds
346,Bethel,US,41.3712,-73.414,38.1,90,90,0.89,moderate rain
347,Kanigoro,ID,-8.13,112.219,76.41,88,88,0.72,overcast clouds
348,Ostrovnoy,RU,68.0531,39.5131,27.23,65,98,8.16,overcast clouds
349,Balikpapan,ID,-1.2675,116.8289,76.19,83,20,0.0,moderate rain
